gva_id,url,isbn,issn,doi,pmid,sici,type,title,author,organization,first_published,last_updated,transferred_by,fact_check1,fact_check2,fact_check3
2001682,https://6abc.com/29-year-old-man-shot-and-killed-in-allentown/10613280/,,,,,,,,,,,,Karen Li,,,
2001682,https://www.wfmz.com/news/area/lehighvalley/witness-bullets-flying-as-man-shot-dead-wife-injured-in-allentown/article_8572e374-b251-11eb-b2af-d3b6aac1c6f6.html,,,,,,,,,,,,Karen Li,,,
1999417,https://6abc.com/quintuple-shooting-leaves-2-dead-in-philly;-at-least-19-shot-this-weekend/10603708/,,,,,,,,,,,,Karen Li,,,
1999417,https://philadelphia.cbslocal.com/2021/05/09/quintuple-shooting-olney-teen-23-year-old-killed/,,,,,,,,,,,,Karen Li,,,
1999193,https://www.cnn.com/2021/05/09/us/phoenix-fatal-shooting/index.html,,,,,,,,,,,,Karen Li,,,
1999193,https://www.12news.com/article/news/crime/1-killed-7-injured-after-shooting-at-phoenix-hyatt-regency-5-9-2021/75-93416320-d310-4076-b1d1-d1c37c89e7dc,,,,,,,,,,,,Karen Li,,,
1999193,https://www.abc15.com/news/region-phoenix-metro/central-phoenix/police-on-scene-of-a-shooting-investigation-at-a-downtown-phoenix-hotel,,,,,,,,,,,,Karen Li,,,
1999193,https://www.kgun9.com/news/local-news/police-identify-man-killed-in-phoenix-hotel-shooting,,,,,,,,,,,,Karen Li,,,
1999193,https://www.azfamily.com/news/survivor-describes-shooting-at-hyatt-regency-hotel-in-downtown-phoenix-that-left-1-dead-7/article_aabce6a0-b0be-11eb-b78b-6f0aee3ff51a.html?block_id=667482,,,,,,,,,,,,Karen Li,,,
1999193,https://www.azcentral.com/story/news/local/phoenix-breaking/2021/05/18/phoenix-police-arrest-2-connection-shooting-downtown-hotel/5061129001/,,,,,,,,,,,,Karen Li,,,
2126450,: https://twitter.com/Chicago_Scanner/status/1442396373555503104,,,,,,,,,,,,Sydney Uridel,,,
2126450, https://chicago.suntimes.com/crime/2021/9/27/22695938/1-killed-3-wounded-teen-humboldt-park-mass-shooting,,,,,,,,,,,,Sydney Uridel,,,
1999909,https://abc7.com/1-dead-3-others-wounded-in-shooting-in-hollywood/10607173/,,,,,,,,,,,,Karen Li,,,
1999909,https://www.nbclosangeles.com/news/local/one-dead-five-hospitalized-after-hollywood-shooting/2591699/,,,,,,,,,,,,Karen Li,,,
1999909,https://ktla.com/news/local-news/1-killed-5-wounded-in-shooting-at-mothers-day-party-in-hollywood/,,,,,,,,,,,,Karen Li,,,
1999909,https://losangeles.cbslocal.com/2021/05/10/one-man-killed-3-wounded-in-hollywood-shooting/,,,,,,,,,,,,Karen Li,,,
1999125,https://www.9news.com/article/news/crime/colorado-springs-shooting-multiple-victims/73-428e2525-2e0d-4c6e-a716-6badf26bedea,,,,,,,,,,,,Karen Li,,,
1999125,https://www.kktv.com/2021/05/09/4-including-suspect-killed-in-shooting-at-colorado-springs-mobile-home-community/,,,,,,,,,,,,Karen Li,,,
1999125,https://www.koaa.com/news/covering-colorado/colorado-springs-police-multiple-deceased-victims-found-on-preakness-way,,,,,,,,,,,,Karen Li,,,
1999125,https://gazette.com/news/local/4-killed-in-shooting-at-colorado-springs-mobile-home-community/article_4186ea1a-b0cc-11eb-b3e5-9f195dc56ec0.html,,,,,,,,,,,,Karen Li,,,
1999125,https://coloradosprings.gov/police-department/article/news/update-homicide-investigation-2800-block,,,,,,,,,,,,Karen Li,,,
1999125,https://gazette.com/news/neighbors-in-colorado-springs-mass-shooting-mourn-the-6-slain-identified-by-family-member/article_4c15d008-b1c2-11eb-b8cf-6735c450f9fa.html,,,,,,,,,,,,Karen Li,,,
1998476,https://wjla.com/news/crime/authorities-4-dead-1-hurt-after-shooting-fire-in-maryland,,,,,,,,,,,,Elva Cortez,,,
1998476,https://www.wbaltv.com/article/woodlawn-fire-police-activity/36371512#,,,,,,,,,,,,Elva Cortez,,,
1998830,https://www.lex18.com/news/covering-kentucky/heavy-police-response-in-lexington,,,,,,,,,,,,Elva Cortez,,,
1998830,https://www.wkyt.com/2021/05/08/two-men-and-a-child-injured-in-shooting-on-florence-avenue/,,,,,,,,,,,,Elva Cortez,,,
1998888,https://www.wafb.com/2021/05/08/police-shot-killed-tangipahoa-parish-nightclub-early-saturday/,,,,,,,,,,,,Elva Cortez,,,
1998888,https://www.facebook.com/permalink.php?story_fbid=4274690532584606&id=119215974798770,,,,,,,,,,,,Elva Cortez,,,
1998888,https://www.hammondstar.com/news/shooting-at-club-81-leaves-1-dead-2-wounded/article_088a27c1-de2a-535c-b63d-f639eb2daac2.html,,,,,,,,,,,,Elva Cortez,,,
